string	data_package	source_type	annotator	string_type
Acrocephalus arundinaceus	2	data	annotator_1	scientific name
Acrocephalus melanopogon	2	data	annotator_1	scientific name
Acrocephalus palustris	2	data	annotator_1	scientific name
Acrocephalus schoenobaenus	2	data	annotator_1	scientific name
Acrocephalus scirpaceus	2	data	annotator_1	scientific name
Aegithalos caudatus	2	data	annotator_1	scientific name
Alauda arvensis	2	data	annotator_1	scientific name
Anthus pratensis	2	data	annotator_1	scientific name
Anthus spinoletta	2	data	annotator_1	scientific name
Anthus trivialis	2	data	annotator_1	scientific name
Bombycilla garrulus	2	data	annotator_1	scientific name
Calandrella brachydactyla	2	data	annotator_1	scientific name
Calcarius lapponicus	2	data	annotator_1	scientific name
Carduelis cannabina	2	data	annotator_1	scientific name
Carduelis carduelis	2	data	annotator_1	scientific name
Carduelis flammea	2	data	annotator_1	scientific name
Carduelis hornemanni	2	data	annotator_1	scientific name
Carpodacus erythrinus	2	data	annotator_1	scientific name
Certhia brachydactyla	2	data	annotator_1	scientific name
Certhia familiaris	2	data	annotator_1	scientific name
Cinclus cinclus	2	data	annotator_1	scientific name
Coccothraustes coccothraustes	2	data	annotator_1	scientific name
Corvus corax	2	data	annotator_1	scientific name
Delichon urbica	2	data	annotator_1	scientific name
Emberiza aureola	2	data	annotator_1	scientific name
Emberiza cia	2	data	annotator_1	scientific name
Emberiza cirlus	2	data	annotator_1	scientific name
Emberiza citrinella	2	data	annotator_1	scientific name
Emberiza hortulana	2	data	annotator_1	scientific name
Emberiza melanocephala	2	data	annotator_1	scientific name
Emberiza rustica	2	data	annotator_1	scientific name
Emberiza schoeniclus	2	data	annotator_1	scientific name
Eneterobacteriaceae	2	data	annotator_1	scientific name
Enetrococcus	2	data	annotator_1	scientific name
Enterobacteriaceae	2	data	annotator_1	scientific name
Enterococcus	2	data	annotator_1	scientific name
Eremophila alpestris	2	data	annotator_1	scientific name
Ficedula albicollis	2	data	annotator_1	scientific name
Ficedula hypoleuca	2	data	annotator_1	scientific name
Ficedula parva	2	data	annotator_1	scientific name
Fringilla coelebs	2	data	annotator_1	scientific name
Fringilla montifringilla	2	data	annotator_1	scientific name
Garrulus glandarius	2	data	annotator_1	scientific name
Hippolais icterina	2	data	annotator_1	scientific name
Hippolais polyglotta	2	data	annotator_1	scientific name
Lanius collurio	2	data	annotator_1	scientific name
Lanius excubitor	2	data	annotator_1	scientific name
Lanius senator	2	data	annotator_1	scientific name
Locustella luscinioides	2	data	annotator_1	scientific name
Locustella naevia	2	data	annotator_1	scientific name
Loxia curvirostra	2	data	annotator_1	scientific name
Loxia leucoptera	2	data	annotator_1	scientific name
Loxia pytyopsittacus	2	data	annotator_1	scientific name
Luscinia luscinia	2	data	annotator_1	scientific name
Luscinia megarhynchos	2	data	annotator_1	scientific name
Luscinia svecica	2	data	annotator_1	scientific name
Miliaria calandra	2	data	annotator_1	scientific name
Monticola saxatilis	2	data	annotator_1	scientific name
Motacilla alba	2	data	annotator_1	scientific name
Motacilla cinerea	2	data	annotator_1	scientific name
Motacilla flava	2	data	annotator_1	scientific name
Muscicapa striata	2	data	annotator_1	scientific name
Nucifraga caryocatactes	2	data	annotator_1	scientific name
Oenanthe oenanthe	2	data	annotator_1	scientific name
Oriolus oriolus	2	data	annotator_1	scientific name
Panurus biarmicus	2	data	annotator_1	scientific name
Parus ater	2	data	annotator_1	scientific name
Parus cristatus	2	data	annotator_1	scientific name
Parus montanus	2	data	annotator_1	scientific name
Parus palustris	2	data	annotator_1	scientific name
Passer domesticus	2	data	annotator_1	scientific name
Passer hispaniolensis	2	data	annotator_1	scientific name
Passer montanus	2	data	annotator_1	scientific name
Perisoreus infaustus	2	data	annotator_1	scientific name
Phoenicurus ochruros	2	data	annotator_1	scientific name
Phoenicurus phoenicurus	2	data	annotator_1	scientific name
Phylloscopus bonelli	2	data	annotator_1	scientific name
Phylloscopus collybita	2	data	annotator_1	scientific name
Phylloscopus sibilatrix	2	data	annotator_1	scientific name
Phylloscopus trochilus	2	data	annotator_1	scientific name
Pica pica	2	data	annotator_1	scientific name
Pinicola enucleator	2	data	annotator_1	scientific name
Plectrophenax nivalis	2	data	annotator_1	scientific name
Prunella collaris	2	data	annotator_1	scientific name
Prunella modularis	2	data	annotator_1	scientific name
Pyrrhocorax graculus	2	data	annotator_1	scientific name
Pyrrhocorax pyrrhocorax	2	data	annotator_1	scientific name
Regulus ignicapillus	2	data	annotator_1	scientific name
Regulus regulus	2	data	annotator_1	scientific name
Remiz pendulinus	2	data	annotator_1	scientific name
Saxicola rubetra	2	data	annotator_1	scientific name
Saxicola torquata	2	data	annotator_1	scientific name
Serinus citrinella	2	data	annotator_1	scientific name
Serinus serinus	2	data	annotator_1	scientific name
Sitta europaea	2	data	annotator_1	scientific name
Staphylococcus	2	data	annotator_1	scientific name
Sylvia atricapilla	2	data	annotator_1	scientific name
Sylvia borin	2	data	annotator_1	scientific name
Sylvia cantillans	2	data	annotator_1	scientific name
Sylvia communis	2	data	annotator_1	scientific name
Sylvia curruca	2	data	annotator_1	scientific name
Sylvia hortensis	2	data	annotator_1	scientific name
Sylvia melanocephala	2	data	annotator_1	scientific name
Sylvia nisoria	2	data	annotator_1	scientific name
Sylvia undata	2	data	annotator_1	scientific name
Troglodytes troglodytes	2	data	annotator_1	scientific name
Turdus iliacus	2	data	annotator_1	scientific name
Turdus viscivorus	2	data	annotator_1	scientific name
bacteria	2	data	annotator_1	vernacular
Emberiza cia	2	pdf	annotator_1	scientific name
Acrocephalus arundinaceus	2	pdf	annotator_1	scientific name
Acrocephalus melanopogon	2	pdf	annotator_1	scientific name
Acrocephalus palustris	2	pdf	annotator_1	scientific name
Acrocephalus schoenobaenus	2	pdf	annotator_1	scientific name
Acrocephalus scirpaceus	2	pdf	annotator_1	scientific name
Aegithalos caudatus	2	pdf	annotator_1	scientific name
Alauda arvensis	2	pdf	annotator_1	scientific name
Anthus pratensis	2	pdf	annotator_1	scientific name
Anthus spinoletta	2	pdf	annotator_1	scientific name
Anthus trivialis	2	pdf	annotator_1	scientific name
Bombycilla garrulus	2	pdf	annotator_1	scientific name
Calandrella brachydactyla	2	pdf	annotator_1	scientific name
Calcarius lapponicus	2	pdf	annotator_1	scientific name
Carduelis cannabina	2	pdf	annotator_1	scientific name
Carduelis carduelis	2	pdf	annotator_1	scientific name
Carduelis flammea	2	pdf	annotator_1	scientific name
Carduelis hornemanni	2	pdf	annotator_1	scientific name
Carpodacus erythrinus	2	pdf	annotator_1	scientific name
Certhia brachydactyla	2	pdf	annotator_1	scientific name
Certhia familiaris	2	pdf	annotator_1	scientific name
Cinclus cinclus	2	pdf	annotator_1	scientific name
