T0	LIVB 373 388	True crocodiles
T1	LIVB 390 400	Crocodylus
T2	LIVB 475 486	crocodylian
T3	LIVB 594 604	Crocodylus
T4	LIVB 831 841	Crocodylus
T5	LIVB 928 939	crocodylian
T6	LIVB 995 1005	Crocodylia
T7	LIVB 1065 1075	Crocodylus
T8	LIVB 1143 1153	Crocodylia
T9	LIVB 1232 1242	Crocodylus
T10	LIVB 1345 1355	Crocodylus
T11	LIVB 1680 1690	Crocodylus
T12	LIVB 1979 1991	true gharial
T13	LIVB 1993 2012	Gavialis gangeticus
T14	LIVB 2394 2405	crocodylian
T15	LIVB 2413 2423	Crocodylus
T16	LIVB 2464 2474	Crocodylia
T17	LIVB 2525 2535	Crocodylus
T18	LIVB 3212 3222	Crocodylus
T19	LIVB 3327 3337	Crocodylus
T20	LIVB 3937 3947	Crocodylus
T21	LIVB 4337 4347	Crocodylus
T22	LIVB 4453 4463	Crocodylus
T23	LIVB 4677 4687	Crocodylus
T24	LIVB 4818 4830	C. niloticus
T25	LIVB 4835 4845	C. porosus
T26	LIVB 4983 4995	C. niloticus
T27	LIVB 5000 5010	C. porosus
T28	LIVB 5101 5111	Gavialinae
T29	LIVB 5116 5128	Crocodylinae
T30	LIVB 5555 5565	Crocodylus
T31	LIVB 5689 5699	Crocodylia
T32	LIVB 5786 5796	Crocodylus
T33	LIVB 5826 5836	Crocodylus
T34	LIVB 6049 6061	Crocodylinae
T35	LIVB 6277 6288	Osteolaemus
T36	LIVB 6293 6302	Mecistops
T37	LIVB 6332 6342	Crocodylus
T38	LIVB 6426 6435	Mecistops
T39	LIVB 6449 6460	Osteolaemus
T40	LIVB 6732 6742	Crocodylus
T41	LIVB 6785 6795	Crocodylus
T42	LIVB 6834 6856	Mecistops cataphractus
T43	LIVB 7042 7052	Crocodylus
T44	LIVB 7283 7298	M. cataphractus
T45	LIVB 7446 7457	crocodylian
T46	LIVB 7539 7549	Crocodylus
T47	LIVB 7687 7699	Crocodylinae
T48	LIVB 7743 7753	Crocodylus
T49	LIVB 8061 8072	crocodylian
T50	LIVB 9161 9174	Alligatorinae
T51	LIVB 9175 9185	Caimaninae
T52	LIVB 9501 9511	Crocodylia
T53	LIVB 9553 9563	Crocodylia
T54	LIVB 9966 9976	Crocodylia
T55	LIVB 10496 10506	Crocodylus
T56	LIVB 10509 10518	Mecistops
T57	LIVB 10554 10566	C. niloticus
T58	LIVB 10572 10584	C. siamensis
T59	LIVB 10587 10597	C. porosus
T60	LIVB 10603 10618	C. novaeguineae
T61	LIVB 10653 10663	Crocodylia
T62	LIVB 11215 11225	Crocodylus
T63	LIVB 11232 11243	Osteolaemus
T64	LIVB 11248 11257	Mecistops
T65	LIVB 11297 11308	crocodyline
T66	LIVB 12055 12065	Crocodylus
T67	LIVB 12744 12754	Crocodylus
T68	LIVB 13090 13100	Crocodylus
T69	LIVB 13351 13366	M. cataphractus
T70	LIVB 13380 13391	Osteolaemus
T71	LIVB 13444 13464	Crocodylus niloticus
T72	LIVB 13527 13542	C. novaeguineae
T73	LIVB 13558 13572	C. mindorensis
T74	LIVB 13582 13594	C. siamensis
T75	LIVB 13608 13620	C. palustris
T76	LIVB 13639 13651	C. niloticus
T77	LIVB 13653 13668	C. novaeguineae
T78	LIVB 13670 13679	Mecistops
T79	LIVB 13682 13692	Crocodylus
T80	LIVB 13698 13710	C. siamensis
T81	LIVB 13713 13723	C. porosus
T82	LIVB 14370 14382	C. niloticus
T83	LIVB 14424 14439	C. novaeguineae
T84	LIVB 14474 14488	C. mindorensis
T85	LIVB 14541 14562	Osteolaemus tetraspis
T86	LIVB 14884 14894	Crocodylus
T87	LIVB 15000 15012	C. niloticus
T88	LIVB 15014 15023	Mecistops
T89	LIVB 15026 15036	Crocodylus
T90	LIVB 15041 15053	C. siamensis
T91	LIVB 15056 15066	C. porosus
T92	LIVB 15320 15330	Crocodylia
T93	LIVB 15353 15365	Crocodylidae
T94	LIVB 15370 15383	Alligatoridae
T95	LIVB 18894 18904	Crocodylia
T96	LIVB 19001 19011	Crocodylus
T97	LIVB 19910 19920	Crocodylus
T98	LIVB 20074 20084	Crocodylus
T99	LIVB 20155 20165	Crocodylus
T100	LIVB 20448 20458	Crocodylus
T101	LIVB 20906 20916	Crocodylia
T102	LIVB 21056 21067	crocodylian
T103	LIVB 21221 21233	Crocodylinae
T104	LIVB 21273 21282	Mecistops
T105	LIVB 21287 21298	Osteolaemus
T106	LIVB 21384 21396	C. niloticus
T107	LIVB 21415 21429	C. mindorensis
T108	LIVB 21579 21588	mecistops
T109	LIVB 21589 21598	Mecistops
T110	LIVB 21612 21623	Osteolaemus
T111	LIVB 23647 23656	Mecistops
T112	LIVB 23661 23671	Crocodylus
T113	LIVB 23921 23930	Mecistops
T114	LIVB 23935 23946	Osteolaemus
T115	LIVB 24084 24094	Crocodylus
T116	LIVB 24242 24252	Crocodylus
T117	LIVB 24365 24375	Crocodylus
T118	LIVB 24671 24681	Crocodylus
T119	LIVB 25106 25116	Crocodylus
T120	LIVB 25219 25241	African Nile crocodile
T121	LIVB 25271 25291	Crocodylus niloticus
T122	LIVB 25716 25728	C. niloticus
T123	LIVB 25848 25860	C. niloticus
T124	LIVB 25934 25954	Philippine crocodile
T125	LIVB 25992 26007	C. novaeguineae
T126	LIVB 26063 26077	C. mindorensis
T127	LIVB 26118 26133	C. novaeguineae
T128	LIVB 26250 26264	C. mindorensis
T129	LIVB 26390 26404	C. mindorensis
T130	LIVB 26502 26516	C. mindorensis
T131	LIVB 26557 26572	C. novaeguineae
T132	LIVB 26854 26864	C. porosus
T133	LIVB 26869 26881	C. siamensis
T134	LIVB 26959 26971	C. palustris
T135	LIVB 27042 27054	C. siamensis
T136	LIVB 27062 27072	C. porosus
T137	LIVB 27113 27125	C. palustris
T138	LIVB 27213 27225	C. siamensis
T139	LIVB 27239 27251	C. palustris
T140	LIVB 27262 27272	C. porosus
T141	LIVB 27386 27398	C. siamensis
T142	LIVB 27403 27413	C. porosus
T143	LIVB 27463 27475	C. siamensis
T144	LIVB 27478 27488	C. porosus
T145	LIVB 27647 27657	Crocodylus
T146	LIVB 27850 27860	Crocodylus
T147	LIVB 28103 28113	Crocodylus
T148	LIVB 28866 28876	Crocodylus
T149	LIVB 28951 28961	Crocodylus
T150	LIVB 29955 29965	Crocodylus
T151	LIVB 30081 30091	Crocodylus
T152	LIVB 30199 30209	Crocodylus
T153	LIVB 30243 30253	Crocodylus
T154	LIVB 30269 30284	C. palaeindicus
T155	LIVB 30385 30395	Crocodylus
T156	LIVB 30417 30427	C. porosus
T157	LIVB 30525 30535	Crocodylus
T158	LIVB 30613 30623	Crocodylus
T159	LIVB 30942 30961	estuarine crocodile
T160	LIVB 30963 30973	C. porosus
T161	LIVB 31177 31189	Mekosuchinae
